technique,Action,Phase,Phase2,Phase3,platforms,groups.1,groups.2,groups.3,groups.4,groups.5,groups.6,groups.7,groups.8,groups.9,groups.10,groups.11,groups.12,groups.13,groups.14,groups.15,groups.16,groups.17,groups.18,groups.19,groups.20,groups.21,groups.22,groups.23,groups.24,groups.25,groups.26,groups.27,groups.28,groups.29,groups.30,groups.31,groups.32,groups.33,groups.34,groups.35,groups.36,groups.37,groups.38,groups.39,groups.40,groups.41,groups.42,groups.43,groups.44,groups.45,groups.46,groups.47,groups.48,groups.49,groups.50,groups.51,groups.52,groups.53,groups.54,groups.55,groups.56,groups.57,groups.58,groups.59,groups.60,groups.61,groups.62,groups.63,groups.64,groups.65,groups.66,groups.67,groups.68,groups.69,groups.70,groups.71,groups.72,groups.73,groups.74,groups.75,groups.76,groups.77,groups.78,groups.79,groups.80,groups.81,groups.82,groups.83,groups.84,groups.85,groups.86,data_sources,mitigations,Stealth,Noise2
T1566.001,Spearphishing Attachment,initial-access,,,Linux|Windows|macOS,G0005,G0006,G0007,G0012,G0013,G0016,G0018,G0019,G0021,G0027,G0032,G0034,G0035,G0037,G0040,G0045,G0046,G0047,G0048,G0049,G0050,G0060,G0061,G0062,G0064,G0065,G0066,G0067,G0068,G0069,G0073,G0075,G0078,G0079,G0080,G0081,G0082,G0084,G0085,G0087,G0089,G0090,G0091,G0092,G0094,G0095,G0096,G0098,G0099,G0100,G0102,G0103,G0112,G0121,G0126,G0127,G0129,G0130,G0131,G0133,G0134,G0136,G0137,G0138,G0140,G0142,G1002,G1008,G1011,G1012,G1018,G1026,G1031,G1033,G1035,G1036,G1039,G1054,,,,,,,,,,M1017|M1018|M1021|M1031|M1047|M1049|M1054,7,3
T1214,Credentials in Registry,credential-access,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1027.008,Stripped Payloads,stealth,,,Linux|Network Devices|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1559.001,Component Object Model,execution,,,Windows,G0047,G0069,G0094,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1048,5,5
T1574.001,DLL,execution,stealth,,Windows,G0019,G0022,G0027,G0032,G0040,G0045,G0048,G0050,G0060,G0069,G0073,G0081,G0090,G0093,G0096,G0098,G0099,G0107,G0114,G0120,G0121,G0126,G0129,G0131,G0135,G0143,G1006,G1008,G1014,G1016,G1021,G1034,G1046,G1047,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1013|M1038|M1044|M1047|M1051,3,7
T1119,Automated Collection,collection,,,IaaS|Linux|Office Suite|SaaS|Windows|macOS,G0004,G0006,G0007,G0027,G0037,G0040,G0045,G0047,G0049,G0053,G0081,G0114,G0121,G0125,G0129,G0142,G1003,G1030,G1035,G1039,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1029|M1041,5,5
T1689,Downgrade Attack,defense-impairment,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1042|M1054,5,5
T1115,Clipboard Data,collection,,,Linux|Windows|macOS,G0049,G0082,G0087,G0094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1003.007,Proc Filesystem,credential-access,,,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1027,5,5
T1583.005,Botnet,resource-development,,,PRE,G0004,G0125,G1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1555.005,Password Managers,credential-access,,,Linux|Windows|macOS,G0027,G0117,G0119,G1004,G1015,G1048,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1018|M1027|M1051|M1054,5,5
T1103,AppInit DLLs,persistence,privilege-escalation,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1553.001,Gatekeeper Bypass,defense-impairment,,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038,5,5
T1675,ESXi Administration Command,execution,,,ESXi,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018,5,5
T1608.004,Drive-by Target,resource-development,,,PRE,G0027,G0035,G0046,G0050,G0134,G1012,G1014,G1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1007,System Service Discovery,discovery,,,Linux|Windows|macOS,G0004,G0006,G0010,G0018,G0033,G0049,G0060,G0094,G0114,G0119,G0139,G0143,G1006,G1017,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2
T1040,Network Sniffing,credential-access,discovery,,IaaS|Linux|Network Devices|Windows|macOS,G0007,G0034,G0064,G0094,G0105,G1045,G1047,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1030|M1032|M1041,5,5
T1017,Application Deployment Software,lateral-movement,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1553.002,Code Signing,defense-impairment,,,Windows|macOS,G0012,G0021,G0032,G0037,G0039,G0040,G0044,G0045,G0046,G0049,G0052,G0056,G0065,G0091,G0092,G0093,G0094,G0096,G0102,G0129,G1009,G1014,G1015,G1031,G1034,G1051,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1530,Data from Cloud Storage,collection,,,IaaS|Office Suite|SaaS,G0117,G0125,G1015,G1044,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1022|M1032|M1037|M1041|M1047,5,5
T1565.003,Runtime Data Manipulation,impact,,,Linux|Windows|macOS,G0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1030,5,5
T1552.002,Credentials in Registry,credential-access,,,Windows,G0050,G1039,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1027|M1047,5,5
T1135,Network Share Discovery,discovery,,,Linux|Windows|macOS,G0006,G0035,G0050,G0054,G0081,G0082,G0087,G0096,G0102,G0105,G0114,G0131,G1016,G1032,G1043,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1028,5,5
T1120,Peripheral Device Discovery,discovery,,,Linux|Windows|macOS,G0007,G0010,G0020,G0047,G0049,G0067,G0135,G0139,G1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1036.009,Break Process Trees,stealth,,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1590.004,Network Topology,reconnaissance,,,PRE,G0069,G1016,G1017,G1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1587.002,Code Signing Certificates,resource-development,,,PRE,G0040,G0056,G1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1222.001,Windows Permissions,defense-impairment,,,Windows,G0102,G1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1026,5,5
T1137.006,Add-ins,persistence,,,Office Suite|Windows,G0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1040,5,5
T1685.002,Disable or Modify Cloud Log,defense-impairment,,,IaaS|Identity Provider|Office Suite|SaaS,G0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018,5,5
T1505.002,Transport Agent,persistence,,,Linux|Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1045|M1047,5,5
T1082,System Information Discovery,discovery,,,ESXi|IaaS|Linux|Network Devices|Windows|macOS,G0004,G0010,G0012,G0018,G0022,G0026,G0032,G0034,G0038,G0040,G0046,G0047,G0049,G0050,G0054,G0059,G0061,G0067,G0069,G0073,G0081,G0082,G0094,G0096,G0100,G0102,G0106,G0108,G0112,G0121,G0124,G0126,G0128,G0129,G0139,G0143,G1001,G1008,G1009,G1012,G1015,G1016,G1018,G1020,G1026,G1034,G1035,G1036,G1039,G1040,G1043,G1044,G1051,G1052,G1053,G1054,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1071,Application Layer Protocol,command-and-control,,,ESXi|Linux|Network Devices|Windows|macOS,G0059,G0106,G0139,G1032,G1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1031|M1037,5,5
T1574.014,AppDomainManager,execution,stealth,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022,3,7
T1074.002,Remote Data Staging,collection,,,ESXi|IaaS|Linux|Windows|macOS,G0007,G0027,G0037,G0045,G0061,G0065,G0114,G1019,G1022,G1041,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2
T1098.006,Additional Container Cluster Roles,persistence,privilege-escalation,,Containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1032,5,5
T1053,Scheduled Task/Job,execution,persistence,privilege-escalation,Containers|ESXi|Linux|Network Devices|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1022|M1026|M1028|M1047,8,2
T1218.007,Msiexec,stealth,,,Windows,G0021,G0075,G0082,G0092,G0095,G0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1042,3,7
T1162,Login Item,persistence,,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1590.003,Network Trust Dependencies,reconnaissance,,,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1498.002,Reflection Amplification,impact,,,IaaS|Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1037,5,5
T1556.002,Password Filter DLL,credential-access,defense-impairment,persistence,Windows,G0041,G0049,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1028,5,5
T1505.005,Terminal Services DLL,persistence,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1024|M1047,8,2
T1059.002,AppleScript,execution,,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038|M1045,5,5
T1176,Software Extensions,persistence,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1033|M1038|M1047|M1051,5,5
T1499.002,Service Exhaustion Flood,impact,,,IaaS|Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1037,10,0
T1195.003,Compromise Hardware Supply Chain,initial-access,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1046,5,5
T1106,Native API,execution,,,Linux|Windows|macOS,G0010,G0032,G0034,G0045,G0047,G0067,G0078,G0081,G0082,G0090,G0091,G0092,G0094,G0098,G0114,G0126,G0129,G1008,G1022,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038|M1040,5,5
T1558.005,Ccache Files,credential-access,,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1043|M1047,5,5
T1070.007,Clear Network Connection History and Configurations,stealth,,,Linux|Network Devices|Windows|macOS,G1017,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1024|M1029,3,7
T1558.004,AS-REP Roasting,credential-access,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1027|M1041|M1047,5,5
T1058,Service Registry Permissions Weakness,persistence,privilege-escalation,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2
T1584.003,Virtual Private Server,resource-development,,,PRE,G0010,G1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1059.010,AutoHotKey & AutoIT,execution,,,Windows,G0087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038,5,5
T1600.001,Reduce Key Space,defense-impairment,,,Network Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1070.003,Clear Command History,stealth,,,ESXi|Linux|Network Devices|Windows|macOS,G0032,G0045,G0059,G0096,G0139,G0143,G1023,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1029|M1039,3,7
T1202,Indirect Command Execution,stealth,,,Windows,G0032,G1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1024,Custom Cryptographic Protocol,command-and-control,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1536,Revert Cloud Instance,stealth,,,IaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1091,Replication Through Removable Media,initial-access,lateral-movement,,Windows,G0007,G0012,G0046,G0047,G0081,G0129,G1007,G1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1034|M1040|M1042,5,5
T1005,Data from Local System,collection,,,ESXi|Linux|Network Devices|Windows|macOS,G0001,G0004,G0006,G0007,G0010,G0016,G0022,G0027,G0032,G0034,G0035,G0037,G0038,G0040,G0045,G0046,G0047,G0049,G0059,G0060,G0067,G0070,G0082,G0087,G0093,G0094,G0096,G0100,G0102,G0117,G0124,G0125,G0138,G0143,G1003,G1004,G1012,G1014,G1016,G1017,G1022,G1030,G1039,G1054,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1057,5,5
T1140,Deobfuscate/Decode Files or Information,stealth,,,ESXi|Linux|Windows|macOS,G0004,G0007,G0010,G0012,G0021,G0027,G0032,G0034,G0045,G0046,G0047,G0049,G0060,G0065,G0069,G0073,G0078,G0081,G0082,G0087,G0090,G0092,G0094,G0106,G0126,G0128,G0129,G0139,G1006,G1016,G1017,G1021,G1026,G1030,G1035,G1036,G1043,G1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1137.005,Outlook Rules,persistence,,,Office Suite|Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1040|M1051,5,5
T1562,Impair Defenses,stealth,,,Containers|ESXi|IaaS|Identity Provider|Linux|Network Devices|Office Suite|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1586.003,Cloud Accounts,resource-development,,,PRE,G0016,G0099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1586.002,Email Accounts,resource-development,,,PRE,G0007,G0016,G0049,G0059,G0065,G0090,G0094,G0099,G0129,G0136,G1001,G1004,G1033,G1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1098.007,Additional Local or Domain Groups,persistence,privilege-escalation,,Linux|Windows|macOS,G0022,G0035,G0059,G0094,G0096,G1016,G1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1608.001,Upload Malware,resource-development,,,PRE,G0027,G0034,G0046,G0047,G0049,G0050,G0090,G0092,G0094,G0099,G0129,G0139,G0140,G1001,G1002,G1006,G1008,G1011,G1014,G1018,G1020,G1031,G1033,G1036,G1043,G1044,G1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1195,Supply Chain Compromise,initial-access,,,Linux|SaaS|Windows|macOS,G0034,G0049,G1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1013|M1016|M1018|M1033|M1046|M1051,5,5
T1190,Exploit Public-Facing Application,initial-access,,,Containers|ESXi|IaaS|Linux|Network Devices|Windows|macOS,G0001,G0004,G0007,G0016,G0027,G0034,G0035,G0045,G0046,G0059,G0065,G0069,G0087,G0093,G0094,G0096,G0098,G0106,G0108,G0115,G0117,G0123,G0125,G0135,G1003,G1006,G1009,G1016,G1017,G1021,G1022,G1023,G1030,G1032,G1035,G1040,G1041,G1043,G1045,G1048,G1051,G1053,G1054,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1016|M1026|M1030|M1035|M1037|M1048|M1050|M1051,5,5
T1558,Steal or Forge Kerberos Tickets,credential-access,,,Linux|Windows|macOS,G1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1015|M1026|M1027|M1041|M1043|M1047,5,5
T1555,Credentials from Password Stores,credential-access,,,IaaS|Linux|Windows|macOS,G0037,G0038,G0049,G0064,G0069,G0077,G0087,G0096,G0120,G1001,G1017,G1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1027|M1051,5,5
T1567,Exfiltration Over Web Service,exfiltration,,,ESXi|Linux|Office Suite|SaaS|Windows|macOS,G0007,G0059,G1043,G1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1021|M1057,8,2
T1219,Remote Access Tools,command-and-control,,,Linux|Windows|macOS,G0008,G0034,G0046,G0049,G0080,G0105,G0115,G0139,G1024,G1032,G1043,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1031|M1034|M1037|M1038|M1042,8,2
T1583.001,Domains,resource-development,,,PRE,G0006,G0007,G0027,G0032,G0034,G0035,G0044,G0045,G0046,G0047,G0049,G0050,G0059,G0065,G0069,G0082,G0090,G0092,G0094,G0099,G0122,G0128,G0129,G0134,G0136,G0137,G0139,G0140,G1001,G1002,G1006,G1011,G1012,G1015,G1018,G1033,G1035,G1036,G1041,G1042,G1044,G1046,G1052,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1560.002,Archive via Library,collection,,,Linux|Windows|macOS,G0027,G0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1055.003,Thread Execution Hijacking,privilege-escalation,stealth,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1040,3,7
T1684,Social Engineering,stealth,,,Linux|Office Suite|SaaS|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1036|M1047,3,7
T1079,Multilayer Encryption,command-and-control,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1036,Masquerading,stealth,,,Containers|ESXi|Linux|Windows|macOS,G0007,G0034,G0045,G0049,G0050,G0060,G0068,G0112,G0127,G0128,G0133,G0139,G0140,G1003,G1007,G1016,G1030,G1035,G1046,G1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1018|M1022|M1038|M1040|M1045|M1047|M1049,3,7
T1546.011,Application Shimming,persistence,privilege-escalation,,Windows,G0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1051|M1052,5,5
T1552,Unsecured Credentials,credential-access,,,Containers|IaaS|Identity Provider|Linux|Network Devices|Office Suite|SaaS|Windows|macOS,G1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1015|M1017|M1022|M1026|M1027|M1028|M1035|M1037|M1041|M1047|M1051,5,5
T1547.010,Port Monitors,persistence,privilege-escalation,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1070.008,Clear Mailbox Data,stealth,,,Linux|Office Suite|Windows|macOS,G1015,G1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1029|M1047,3,7
T1037.002,Login Hook,persistence,privilege-escalation,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022,5,5
T1659,Content Injection,command-and-control,initial-access,,Linux|Windows|macOS,G1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1021|M1041,5,5
